order_id,region,status,quantity,unit_price
SO-1001,Cairo,paid,2,100.00
SO-1002,Giza,paid,3,50.00
SO-1003,Alexandria,pending,1,120.00
SO-1004,Cairo,paid,1,80.00
SO-1005,Alexandria,paid,1,120.00
SO-1006,Giza,cancelled,5,25.00
SO-1007,Aswan,paid,2,40.00
SO-1008,Giza,paid,2,25.00
SO-1009,Alexandria,paid,4,20.00
SO-1010,Cairo,pending,10,10.00
SO-1011,Aswan,cancelled,1,95.00
SO-1012,Cairo,paid,3,35.00
SO-1013,Giza,paid,1,65.00
SO-1014,Alexandria,paid,2,15.00
SO-1015,Aswan,paid,1,22.50
SO-1016,Giza,pending,8,12.00
SO-1017,Cairo,paid,2,14.75
SO-1018,Alexandria,cancelled,2,200.00
SO-1019,Aswan,paid,3,16.00
SO-1020,Giza,paid,4,12.25
